Tile,class,x,y
C9037,1,290500,437500
C9137,1,291500,437500
C9237,1,292500,437500
C9337,1,293500,437500
C9437,1,294500,437500
C9537,1,295500,437500
C9637,1,296500,437500
C9737,1,297500,437500
C9837,1,298500,437500
C9937,1,299500,437500
D0037,1,300500,437500
D0137,1,301500,437500
D0237,2,302500,437500
D0337,2,303500,437500
D0437,2,304500,437500
D0537,1,305500,437500
D0637,1,306500,437500
D0737,1,307500,437500
D0837,4,308500,437500
D0937,4,309500,437500
D1037,1,310500,437500
D1137,2,311500,437500
D1237,1,312500,437500
D1337,4,313500,437500
D1437,1,314500,437500
D1537,4,315500,437500
D1637,4,316500,437500
D1737,4,317500,437500
D1837,2,318500,437500
D1937,2,319500,437500
D2037,1,320500,437500
D2137,1,321500,437500
D2237,1,322500,437500
D2337,2,323500,437500
D2437,2,324500,437500
D2537,1,325500,437500
C6536,1,265500,436500
C6636,1,266500,436500
C6736,1,267500,436500
C6836,1,268500,436500
C6936,1,269500,436500
C7036,1,270500,436500
C7136,1,271500,436500
C7236,1,272500,436500
C7336,1,273500,436500
C7436,2,274500,436500
C7536,1,275500,436500
C7636,1,276500,436500
C7736,1,277500,436500
C7836,1,278500,436500
C7936,1,279500,436500
C8036,1,280500,436500
C8136,1,281500,436500
C8236,1,282500,436500
C8336,1,283500,436500
C8436,1,284500,436500
C8536,1,285500,436500
C8636,1,286500,436500
C8736,1,287500,436500
C8836,1,288500,436500
C8936,1,289500,436500
C9036,1,290500,436500
C9136,1,291500,436500
C9236,1,292500,436500
C9336,1,293500,436500
C9436,1,294500,436500
C9536,1,295500,436500
C9636,1,296500,436500
C9736,1,297500,436500
C9836,1,298500,436500
C9936,1,299500,436500
D0036,1,300500,436500
D0136,1,301500,436500
D0236,2,302500,436500
D0336,2,303500,436500
D0436,2,304500,436500
D0536,1,305500,436500
D0636,1,306500,436500
D0736,1,307500,436500
D0836,4,308500,436500
D0936,4,309500,436500
D1036,2,310500,436500
D1136,1,311500,436500
D1236,1,312500,436500
D1336,2,313500,436500
D1436,4,314500,436500
D1536,1,315500,436500
D1636,4,316500,436500
D1736,4,317500,436500
D1836,2,318500,436500
D1936,1,319500,436500
D2036,2,320500,436500
D2136,1,321500,436500
D2236,1,322500,436500
D2336,1,323500,436500
D2436,1,324500,436500
D2536,1,325500,436500
D2636,1,326500,436500
C6535,1,265500,435500
C6635,1,266500,435500
C6735,1,267500,435500
C6835,1,268500,435500
C6935,1,269500,435500
C7035,1,270500,435500
C7135,2,271500,435500
C7235,2,272500,435500
C7335,2,273500,435500
C7435,2,274500,435500
C7535,1,275500,435500
C7635,1,276500,435500
C7735,1,277500,435500
C7835,1,278500,435500
C7935,1,279500,435500
C8035,1,280500,435500
C8135,1,281500,435500
C8235,1,282500,435500
C8335,1,283500,435500
C8435,1,284500,435500
C8535,1,285500,435500
C8635,1,286500,435500
C8735,1,287500,435500
C8835,1,288500,435500
C8935,1,289500,435500
C9035,1,290500,435500
C9135,1,291500,435500
C9235,1,292500,435500
C9335,1,293500,435500
C9435,1,294500,435500
C9535,1,295500,435500
C9635,1,296500,435500
C9735,1,297500,435500
C9835,1,298500,435500
C9935,1,299500,435500
D0035,1,300500,435500
D0135,1,301500,435500
D0235,1,302500,435500
D0335,2,303500,435500
D0435,2,304500,435500
D0535,1,305500,435500
D0635,1,306500,435500
D0735,2,307500,435500
D0835,4,308500,435500
D0935,2,309500,435500
D1035,2,310500,435500
D1135,2,311500,435500
D1235,1,312500,435500
D1335,4,313500,435500
D1435,4,314500,435500
D1535,4,315500,435500
D1635,1,316500,435500
D1735,4,317500,435500
D1835,2,318500,435500
D1935,1,319500,435500
D2035,2,320500,435500
D2135,1,321500,435500
D2235,1,322500,435500
D2335,1,323500,435500
D2435,1,324500,435500
D2535,4,325500,435500
D2635,1,326500,435500
C6534,2,265500,434500
C6634,2,266500,434500
C6734,2,267500,434500
C6834,2,268500,434500
C6934,1,269500,434500
C7034,2,270500,434500
C7134,2,271500,434500
C7234,2,272500,434500
C7334,1,273500,434500
C7434,1,274500,434500
C7534,1,275500,434500
C7634,1,276500,434500
C7734,1,277500,434500
C7834,1,278500,434500
C7934,1,279500,434500
C8034,1,280500,434500
C8134,1,281500,434500
C8234,1,282500,434500
C8334,1,283500,434500
C8434,1,284500,434500
C8534,1,285500,434500
C8634,1,286500,434500
C8734,1,287500,434500
C8834,1,288500,434500
C8934,1,289500,434500
C9034,1,290500,434500
C9134,1,291500,434500
