fid,Tile,Class_max,Version,xcoord,ycoord,COUNTY_ID,CountyName,Area_SqKM,OBJECTID,,CountyName,Class_max,,
151,H5499,5,Radon_Atlas_NI_V1,254500,399500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
152,H3498,5,Radon_Atlas_NI_V1,234500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
153,H3598,5,Radon_Atlas_NI_V1,235500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
154,H3698,5,Radon_Atlas_NI_V1,236500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
155,H3798,5,Radon_Atlas_NI_V1,237500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
156,H3898,5,Radon_Atlas_NI_V1,238500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
157,H3998,5,Radon_Atlas_NI_V1,239500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
158,H4098,4,Radon_Atlas_NI_V1,240500,398500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
159,H4198,5,Radon_Atlas_NI_V1,241500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
160,H4298,5,Radon_Atlas_NI_V1,242500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
161,H4398,5,Radon_Atlas_NI_V1,243500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
162,H4498,5,Radon_Atlas_NI_V1,244500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
163,H4598,5,Radon_Atlas_NI_V1,245500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
164,H4698,5,Radon_Atlas_NI_V1,246500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
165,H4798,5,Radon_Atlas_NI_V1,247500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
166,H4898,5,Radon_Atlas_NI_V1,248500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
167,H4998,5,Radon_Atlas_NI_V1,249500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
168,H5098,5,Radon_Atlas_NI_V1,250500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
169,H5198,5,Radon_Atlas_NI_V1,251500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
170,H5298,4,Radon_Atlas_NI_V1,252500,398500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
171,H5398,4,Radon_Atlas_NI_V1,253500,398500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
172,H5498,5,Radon_Atlas_NI_V1,254500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
173,H5598,5,Radon_Atlas_NI_V1,255500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
174,H6598,5,Radon_Atlas_NI_V1,265500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
175,H6698,5,Radon_Atlas_NI_V1,266500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
176,H6798,5,Radon_Atlas_NI_V1,267500,398500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
177,H6898,3,Radon_Atlas_NI_V1,268500,398500,6,TYRONE,3265.796622,1,,TYRONE,3.00,,
178,H3397,5,Radon_Atlas_NI_V1,233500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
179,H3497,5,Radon_Atlas_NI_V1,234500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
180,H3597,5,Radon_Atlas_NI_V1,235500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
181,H3697,5,Radon_Atlas_NI_V1,236500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
182,H3797,5,Radon_Atlas_NI_V1,237500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
183,H3897,5,Radon_Atlas_NI_V1,238500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
184,H3997,5,Radon_Atlas_NI_V1,239500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
185,H4097,4,Radon_Atlas_NI_V1,240500,397500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
186,H4197,5,Radon_Atlas_NI_V1,241500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
187,H4297,5,Radon_Atlas_NI_V1,242500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
188,H4397,5,Radon_Atlas_NI_V1,243500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
189,H4497,5,Radon_Atlas_NI_V1,244500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
190,H4597,5,Radon_Atlas_NI_V1,245500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
191,H4697,5,Radon_Atlas_NI_V1,246500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
192,H4797,5,Radon_Atlas_NI_V1,247500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
193,H4897,5,Radon_Atlas_NI_V1,248500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
194,H4997,5,Radon_Atlas_NI_V1,249500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
195,H5097,5,Radon_Atlas_NI_V1,250500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
196,H5197,5,Radon_Atlas_NI_V1,251500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
197,H5297,4,Radon_Atlas_NI_V1,252500,397500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
198,H5397,5,Radon_Atlas_NI_V1,253500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
199,H5497,5,Radon_Atlas_NI_V1,254500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
200,H5597,5,Radon_Atlas_NI_V1,255500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
201,H5697,5,Radon_Atlas_NI_V1,256500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
202,H5797,5,Radon_Atlas_NI_V1,257500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
203,H6497,5,Radon_Atlas_NI_V1,264500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
204,H6597,5,Radon_Atlas_NI_V1,265500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
205,H6697,5,Radon_Atlas_NI_V1,266500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
206,H6797,5,Radon_Atlas_NI_V1,267500,397500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
207,H6897,4,Radon_Atlas_NI_V1,268500,397500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
208,H6997,4,Radon_Atlas_NI_V1,269500,397500,6,TYRONE,3265.796622,1,,TYRONE,4.00,,
209,H3296,5,Radon_Atlas_NI_V1,232500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
210,H3396,5,Radon_Atlas_NI_V1,233500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
211,H3496,5,Radon_Atlas_NI_V1,234500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
212,H3596,5,Radon_Atlas_NI_V1,235500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
213,H3696,5,Radon_Atlas_NI_V1,236500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
214,H3796,5,Radon_Atlas_NI_V1,237500,396500,6,TYRONE,3265.796622,1,,TYRONE,5.00,,
